제목,개요,효과,썸네일,난이도,자세분류,부위
,,,,,,
,,,,,,
크런치,복직근 중 상부를 강화하는 운동이다. 허리 부분이 바닥에서 떨어지지 않는다는 것이 싯업과 다른 점이다. 근육을 수축시킬 때뿐만 아니라 이완될 때도 복부에 긴장을 유지하는 것이 중요하다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140453353_T173JF63W.jpg/WEIGHT_084_pic_1.jpg?type=w492_fst&wm=N,초급,,복부
,,,,,,
"로우 - 바벨, 벤트 오버",등 전체의 근육을 발달시키는 대표적인 운동이다. 상체 전면과 후면 근육들의 협응을 통해 운동이 이루어짐으로써 상체를 보다 단단하게 만들어준다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140427700_TORB9T92W.jpg/WEIGHT_073_pic_1.jpg?type=w492_fst&wm=N,상급,,등
,,,,,,
런지,"대표적인 다리 운동 중 하나로 허벅지와 엉덩이에 탄력을 주며 하체 근력을 강화하는 운동이다. 자신의 체중을 이용해 실시하더라도 충분한 자극을 느낄 수 있지만, 더 강한 운동 효과를 원한다면 덤벨이나 바벨을 이용하여 천천히 운동하는 것이 좋다.",,https://dbscthumb-phinf.pstatic.net/2009_000_1/20140624111128483_1H6OUZUIR.jpg/WEIGHT_142_pic_1.jpg?type=w492_fst&wm=N,중급,,허벅지 앞
,,,,,,
와이드 스쿼트,"다리, 엉덩이, 허벅지 안쪽을 다양하게 자극하는 스쿼트이다. 이 동작은 특히 여성들에게 추천하는 운동으로 허벅지 안쪽과 엉덩이 옆 라인을 탄력적으로 다듬는 데 효과적이다.",,https://dbscthumb-phinf.pstatic.net/2009_000_1/20140624111118597_BURQR2BL1.jpg/WEIGHT_141_pic_1.jpg?type=w492_fst&wm=N,중급,,허벅지 앞
,,,,,,
딥스,"디클라인 벤치 프레스와 함께 대흉근의 하부를 발달시키는 데 효과적인 운동으로 초보자보다는 중급 이상의 숙련자에게 추천된다. 상완삼두근과 전면 삼각근이 보조적으로 참여하는 운동이다. 팔꿈치를 구부려 내려갈 때 각도를 90도 이상으로 내려가면 어깨에 무리가 갈 수 있고, 이에 따라 어깨근육과 관절에 손상이 갈 수 있으므로 주의하는 것이 중요하다.",,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140221595_49MJFLMSY.jpg/WEIGHT_032_pic_1.jpg?type=w492_fst&wm=N,상급,,가슴
,,,,,,
브릿지,엉덩이 근육을 발달시켜 힙업에 효과적인 동작이다. 등 근육 발달에도 도움이 된다. 특히 요통이 있거나 장시간 책상에 앉아 있는 경우에 수시로 이 동작을 반복해주면 뭉친 허리 근육을 시원하게 풀 수 있다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20140624110722089_LY2R9UOFJ.jpg/WEIGHT_122_pic_1.jpg?type=w492_fst&wm=N,초급,,엉덩이
,,,,,,
,,,,,,
,,,,,,
